ticker,sector,fiscalDateEnding,price_date_start,price_start,price_end,pe_ratio,earnings_yield,return_on_capital,debt_ratio,debt_to_equity,current_ratio,profit_margin,asset_turnover,book_to_market,rev_growth,ebit_growth,target_return
A,HEALTHCARE,2007-10-31,2008-01-31,21.6837,11.5783,13.798718181818185,0.0634673458658012,0.1436654366543665,0.5718824463860207,1.3358070500927643,2.207456404088996,0.1177121771217712,0.7175006619009796,0.3673504633148083,0.0898853810577116,0.2586206896551724,-0.4660367003786254
A,HEALTHCARE,2008-10-31,2009-01-30,11.5783,20.1468,6.198483838383838,0.1798468284059744,0.1992776715530061,0.6559096409842678,1.9062133645955448,2.4211320754716983,0.1200207828195358,0.7763883286271346,0.595732890319755,0.0653136531365312,0.6061643835616439,0.7400481936035513
A,HEALTHCARE,2009-10-31,2010-01-29,17.9502,26.7877,200.0,0.0139076577203047,0.0236907730673316,0.6707829742511824,2.037509976057462,3.527159394479074,-0.0069180986386967,0.5886757750919601,0.403492694592483,-0.2239348804987876,-0.8987206823027718,0.4923343472496129
A,HEALTHCARE,2010-10-31,2011-01-31,26.7877,27.1975,13.82464634502924,0.0770618710902352,0.2040867810292633,0.6662541254125413,2.001239157372986,2.000973078170613,0.1256429096252755,0.5614686468646864,0.3413684609234793,0.2149073867440303,7.51578947368421,0.015298065903381
A,HEALTHCARE,2011-10-31,2012-01-31,27.1975,28.9605,9.540625,0.1344863310823713,0.3027349038721906,0.5234625151816275,1.100510677808728,3.03157321720196,0.1529856386999244,0.7303742961245445,0.4461884830446046,0.2150991917707567,0.3819530284301606,0.0648221343873517
A,HEALTHCARE,2012-10-31,2013-01-31,28.9605,37.9961,8.866484388551605,0.1117836314466311,0.1818181818181818,0.5078777524677297,1.0326128907757623,2.445324881141046,0.1681248177311169,0.6509111617312073,0.5068934129435752,0.036734693877551,0.0232558139534884,0.3119973757359161
A,HEALTHCARE,2013-10-31,2014-01-31,37.9961,38.5805,18.105876381215467,0.0293923821722409,0.0602278046497113,0.5050533408197642,1.0209988649262205,3.110486891385768,0.1859270672829995,0.3644020213363279,0.4032450470031077,-0.4321959755030621,-0.6625874125874126,0.0153805258960788
A,HEALTHCARE,2014-10-31,2015-01-30,34.5223,34.5011,21.254166484517302,0.0296851521172838,0.0559118566025324,0.50864312267658,1.035768357305072,3.306480920654149,0.1356225296442687,0.3762081784386617,0.4528416731989049,0.03954802259887,-0.1191709844559585,-0.0006140958163274
A,HEALTHCARE,2015-10-31,2016-01-29,34.7783,45.7244,29.054190773067333,0.0482642099535563,0.1216848673946957,0.4438202247191011,0.7985559566787004,3.738336713995943,0.0993065874195146,0.5401284109149278,0.3566299984365787,-0.0024703557312253,0.6058823529411765,0.3147393633386336
A,HEALTHCARE,2016-10-31,2017-01-31,45.7244,69.1825,32.702886086956525,0.0420210269398713,0.1343804537521815,0.4570807215044135,0.84248997877859,3.850635593220339,0.1094716801523084,0.5375463732889856,0.2819190083981153,0.0406141654284299,0.1282051282051282,0.5130324290750672
